idx,train_avg_reward,train_step_count_max,lr,eval_reward_mean,eval_reward_sum,eval_step_count_max
76,-0.02900392934679985,998,0.0002957447599372009,-2.3656389203097206e-06,-0.002363273175433278,998
77,-0.030509844422340393,998,0.0002956325933728095,-1.169901224784553e-06,-0.0011687313672155142,998
78,-0.03177422285079956,998,0.0002955189894735157,-1.2845699757235707e-06,-0.00128328544087708,998
79,-0.031417589634656906,998,0.0002954039493605442,-1.1485695949886576e-06,-0.0011474210768938065,998
80,-0.030168093740940094,998,0.00029528747416929447,-9.333714956483163e-07,-0.0009324381244368851,998
81,-0.03067721053957939,998,0.0002951695650493296,-2.085005235130666e-06,-0.002082920167595148,998
82,-0.032045114785432816,998,0.00029505022316436507,-3.1963140827429015e-06,-0.003193117678165436,998
83,-0.03140905126929283,998,0.000294929449692257,-2.3970317215571413e-06,-0.0023946347646415234,998
84,-0.033644743263721466,998,0.0002948072458249909,-2.6202421850030078e-06,-0.0026176220271736383,998
85,-0.03241995722055435,998,0.00029468361276866953,-2.647550900292117e-06,-0.0026449032593518496,998
86,-0.03154279664158821,998,0.0002945585517435013,-2.4448013391520362e-06,-0.0024423564318567514,998
87,-0.030603880062699318,998,0.00029443206398378796,-2.375499434492667e-06,-0.0023731240071356297,998
88,-0.03132788836956024,998,0.00029430415073791266,-2.3184504698292585e-06,-0.002316131955012679,998
89,-0.0312104020267725,998,0.0002941748132683276,-2.21371146835736e-06,-0.00221149786375463,998
90,-0.03274672478437424,998,0.00029404405285154126,-2.0639215563278412e-06,-0.002061857609078288,998
91,-0.03134426102042198,998,0.00029391187077810625,-2.3831221369619016e-06,-0.002380738966166973,998
92,-0.03168748319149017,998,0.0002937782683526062,-2.3926088488224195e-06,-0.002390216337516904,998
93,-0.03135698288679123,998,0.0002936432468936432,-2.4474732072121697e-06,-0.002445025835186243,998
94,-0.03169369325041771,998,0.00029350680773382445,-2.51258711614355e-06,-0.0025100745260715485,998
95,-0.03020179644227028,998,0.00029336895221974935,-2.566636794654187e-06,-0.0025640700478106737,998
96,-0.029752103611826897,998,0.0002932296817119963,-2.5092090254474897e-06,-0.0025066998787224293,998
97,-0.02978168986737728,998,0.00029308899758510886,-2.4634466626594076e-06,-0.0024609831161797047,998
98,-0.030261710286140442,998,0.00029294690122758267,-2.4577807380410377e-06,-0.002455323003232479,998
